"","tweet_text","created_at","screen_name","name"
"92"," signs a stockmarket selloff in february may be in the cards  marketwatch ","2017-01-31 10:48:12","cocolasvegas64","HEXE 9"
"93","is vix pointing to a stockmarket crash in k its pointing to an ego crash for the bears ","2017-01-31 09:42:00","solomon99999000","Vlad Rothstein"
"94","surprised it isnt up more on those jan comps ","2017-02-02 17:28:39","jeffgent99","jeff george"
"95"," almost the entire trump bump in the stock market has gone away ","2017-01-31 18:41:40","LaureenandK","Laureen"
"96"," olathe best android stock market apps stock ticker ","2017-02-01 10:09:01","phairingra91","Haley Wallace"
"97","rt memeslnhistory the stock market in  ","2017-02-02 20:31:20","apheudite","b·øñttœíf·ø†l"
"98"," messy travel ban rollout ruins stock market surge ","2017-01-31 19:09:59","NoBrainsTRUMP","NO BRAINS TRUMP"
"99","s options oi chart free stock station app itunes ","2017-02-02 15:45:05","OptionsProOI","OptionsPro OI"
"100"," sure i wouldnt be surprised if its all prearranged  nothing surprises me when it comes to the stock market","2017-01-31 13:42:30","Slambucket","Junkmail"
"101"," bad news donnieboy 
seems the stock market doesnt like 
your racism amp hate 

who knew right ","2017-01-31 10:16:29","incohetur","incohetur"
"102"," is flo crying because soross profit  loss on the stock market","2017-02-02 09:06:38","glendalepete","Pete Wagner"
"103"," stratospheric valuation total stock market capitalization as a ratio of gross domestic income at  spx spy‚Ä ","2017-02-01 13:03:26","FINTREND2K","FINTREND2K"
"104","the nigerian stock exchange now has total market value of sixteen trillion naira which is about fifty three ","2017-01-31 19:51:34","9jaFeed_ENT","9jaFeedEntertainment"
"105","negocios noticias mysize inc nasdaq mysz to ring the nasdaq stock market closing bell in honor of the‚Ä ","2017-01-31 17:02:07","BetasDigitales","BetasDigitales"
"106"," loan money stock market ","2017-02-01 16:41:36","dieperhtab88","Bailey"
"107"," keep buying dunkin donuts coffee starbucks has lost almost  on the stock mar‚Ä","2017-02-02 06:49:54","mcicero10","Proud American"
"108"," free stock prices charts ‚Äì stock price quotes common inspirational quotes ","2017-02-02 16:21:54","millbundve87","Kaitlyn Black"
"109","the don versus hillary guarantees extreme stockmarket volatility how you should play this ","2017-02-01 20:06:15","me_the_investor","W_investor"
"110"," stockmarket trading is time shifting in the age of passive investing ","2017-02-02 08:59:33","petergau","Peter"
"111","cello acquires defined health  stock market wire  stock market wire ","2017-02-01 11:43:04","wiolonczela","Cello & Strings News"
"112","love info wars ","2017-01-31 18:34:31","CKaushas","Candice Kaushas"
"113","real time commodity futures prices   ","2017-01-31 07:26:26","JacksonJennings","JacksonT"
"114","snapchat reveals plans for us stock market listing the owner of messaging app snapchat files plans to sells its‚Ä ","2017-02-02 20:35:10","TempieLanehart","Bitcoin World"
"115"," the media made big mistake yesterday saying that rumors spreading that tax cut may not happen until  caused stoc‚Ä","2017-01-31 11:13:13","unrooly1","Raoul Garcia"
"116","binary is similar to stock market trading we have  day trials with us drop me a msg ","2017-01-31 07:10:51","fxJustinSO","Justin - Trader"
"117","stock market on track for lower open ","2017-01-31 08:00:19","BriefingcomSMU","Briefing.com"
"118","wall street journal international stock market position tuesday st january  at pm of click image ‚Ä ","2017-01-31 12:18:42","SajidPFazal","Sajid Pervaiz Fazal"
"119","trump‚Äôs honeymoon with the stock market will soon be over  nouriel roubini ","2017-02-02 09:58:37","ReginaTrumpFans","Regina, Trump Fans"
"120","clintonlinked ‚Äòlaureate education‚Äô tanks in first day on stock market warforyourmind ","2017-02-02 09:16:09","MalemaNews","Julius Malema News"
"121","what would force  to rethink muslim ban amp antitrade posture this falling stock market ","2017-01-31 11:15:37","suzyji","Suzanne Goldenberg"
"122","are you prepared for the crash of the stock market i urge you to view dont b stupid christian","2017-02-01 17:56:07","IMReadingLyrics","Reading Lyrics"
"123","tom brady has the power to decide the super bowl and stock market  newyork nyc","2017-02-01 13:01:20","STERLINGMHOLMES","SMPH"
"124","shocking or not ","2017-01-31 13:12:16","DorMouseSez","TheDorMouse"
"125"," stock market slumps as s muslimban freaks out investors news","2017-01-31 13:18:32","ClaudeMilletART","Claude J. Millette"
