"","tweet_text","create_at","names","screen_name","Gender"
"644"," canadian marijuana grower canopy growth changes its tsx ticker to weed stock rises  to c for a market capi‚Ä ","2017-02-01 16:14:59","AMANDAWAWRYK","AMANDA WAWRYK",2
"645","stock market research news letter  gsi technology incorporated ","2017-02-02 17:48:25","SCOTTCA04631500","SCOTT CARSON",2
"646","defense is the best offense as the stock market bubble inflates  ","2017-02-02 06:58:01","FREEDOMREPUS","FREEDOM #MAGA",1
"647","as of today you can now buy and sell weed on the toronto stock exchange
canada
","2017-02-01 17:12:27","GJALLARHORNET","ODEN",NA
"648","why did fiat chrysler stock rise more than  last week ‚Äì market realist ","2017-01-31 08:14:27","CARINFORMATION6","CARINFORMATIONUSA",1
"649","stock market update crude extends yesterdays gain natural gas snaps out of a session downtrend ahead of eia d‚Ä ","2017-02-01 15:58:38","RICH_LEARN","RICHARD R LEARN",2
"650","tom brady has the power to decide the super bowl and stock market ","2017-02-01 12:56:11","DOMALMO95","BRANDOM A.",2
"651","making your money grow in the stock‚†market ","2017-02-01 12:14:37","GOODSTOCKINVEST","GOODSTOCKINVEST",NA
"652"," i know right stock market crash jobs lost houses lostunpaid for waroh wait","2017-02-02 09:28:01","ANIBASRI664","HASRIANI BASRI",2
"653","qcom this is the bottom i will enter tomorrow i see how the market goes first
","2017-02-02 20:42:54","QAZIMVELAJ","QAZIM VELAJ",NA
"654","  signs a february stockmarket selloff may be brewing ","2017-01-31 12:03:32","SANDYC1772","SANDYC",2
"655","snapchat files plans for us stock market‚†listingnewsco ","2017-02-02 17:39:52","BOOKRBOSS","RICH TIPPER",NA
"656","you think the market has figured out there is a shit storm on the horizon ","2017-01-31 19:05:38","WILLIAMKIMMINS","BILLY LINDLEY ",2
"657"," ","2017-02-02 06:48:05","MANGOLUU","MARILYN FRENCH",2
"658"," free stock market charts nevada","2017-02-01 18:11:47","LIETROUVCO91","ALEXIS NILSSON",2
